company,location,total_laid_off,date,percentage_laid_off,industry,stage,funds_raised,country,date_added,months,year,company_stage,funding_level,layoff_severity,full_shutdown,covid_period,layoff_percentage
sentinelone,sf bay area,230.0,2026-05-29,0.08,security,post-ipo,696.0,united states,2026-05-29,5,2026,mature,very high funding,low,0,after covid,8.0
rapyd,"tel aviv, non-u.s.",75.0,2026-05-28,0.2,finance,unknown,770.0,israel,2026-05-28,5,2026,unknown,very high funding,severe,0,after covid,20.0
netapp,sf bay area,77.0,2026-05-27,0.14,data,post-ipo,426.0,united states,2026-05-28,5,2026,mature,high funding,moderate,0,after covid,14.000000000000002
lightricks,"jerusalem, non-u.s.",129.5,2026-05-27,0.17,consumer,series d,335.0,israel,2026-05-28,5,2026,growth,high funding,severe,0,after covid,17.0
webflow,sf bay area,58.0,2026-05-27,0.14,marketing,series c,335.0,united states,2026-05-27,5,2026,growth,high funding,moderate,0,after covid,14.000000000000002
groupon,chicago,400.0,2026-05-26,0.25,retail,post-ipo,1400.0,united states,2026-05-26,5,2026,mature,very high funding,full shutdown,0,after covid,25.0
bigid,new york city,70.0,2026-05-26,0.2,security,series e,306.0,united states,2026-05-26,5,2026,growth,high funding,severe,0,after covid,20.0
picnic,seattle,124.0,2026-05-26,1.0,food,unknown,52.0,united states,2026-05-26,5,2026,unknown,low funding,full shutdown,1,after covid,100.0
wix,"tel aviv, non-u.s.",1000.0,2026-05-25,0.2,marketing,post-ipo,58.0,israel,2026-05-25,5,2026,mature,low funding,severe,0,after covid,20.0
clickup,san diego,112.0,2026-05-21,0.22,product,series c,537.0,united states,2026-05-21,5,2026,growth,very high funding,full shutdown,0,after covid,22.0
meta,sf bay area,8000.0,2026-05-20,0.1,consumer,post-ipo,26000.0,united states,2026-04-20,5,2026,mature,very high funding,low,0,after covid,10.0
intuit,sf bay area,3000.0,2026-05-20,0.17,finance,post-ipo,18.0,united states,2026-05-20,5,2026,mature,low funding,severe,0,after covid,17.0
ai21 labs,"tel aviv, non-u.s.",110.0,2026-05-18,0.61,ai,series d,626.0,israel,2026-05-20,5,2026,growth,very high funding,full shutdown,0,after covid,61.0
kraken,sf bay area,150.0,2026-05-15,0.2,crypto,unknown,134.0,united states,2026-05-15,5,2026,unknown,medium funding,severe,0,after covid,20.0
innovaccer,sf bay area,340.0,2026-05-14,0.2,healthcare,series e,379.0,united states,2026-05-16,5,2026,growth,high funding,severe,0,after covid,20.0
dune,"oslo, non-u.s.",70.0,2026-05-14,0.25,crypto,series b,79.0,norway,2026-05-15,5,2026,startup,medium funding,full shutdown,0,after covid,25.0
gambling.com group,"dublin, non-u.s.",112.0,2026-05-14,0.15,other,post-ipo,276.0,ireland,2026-05-15,5,2026,mature,high funding,moderate,0,after covid,15.0
cisco,sf bay area,4000.0,2026-05-13,0.05,infrastructure,post-ipo,2.0,united states,2026-05-13,5,2026,mature,low funding,low,0,after covid,5.0
linkedin,sf bay area,875.0,2026-05-13,0.05,recruiting,acquired,154.0,united states,2026-05-13,5,2026,mature,medium funding,low,0,after covid,5.0
jumia,"lagos, non-u.s.",200.0,2026-05-13,0.18,retail,post-ipo,1200.0,nigeria,2026-05-15,5,2026,mature,very high funding,severe,0,after covid,18.0
guesty,"tel aviv, non-u.s.",20.0,2026-05-13,0.02,travel,series f,411.0,israel,2026-05-13,5,2026,growth,high funding,low,0,after covid,2.0
breadfast,"cairo, non-u.s.",58.0,2026-05-12,0.2,food,series c,89.0,egypt,2026-05-13,5,2026,growth,medium funding,severe,0,after covid,20.0
marin software,cleveland,200.0,2026-05-11,0.22,real estate,acquired,16.0,united states,2026-05-13,5,2026,mature,low funding,full shutdown,0,after covid,22.0
one identity,"dresden, non-u.s.",41.0,2026-05-11,0.1,security,unknown,186.5,germany,2026-05-15,5,2026,unknown,high funding,low,0,after covid,10.0
gitlab,sf bay area,35.5,2026-05-11,0.16,product,post-ipo,413.0,united states,2026-05-11,5,2026,mature,high funding,moderate,0,after covid,16.0
messagebird,"amsterdam, non-u.s.",112.0,2026-05-11,0.2,other,series c,1100.0,netherlands,2026-05-13,5,2026,growth,very high funding,severe,0,after covid,20.0
zoominfo,portland,600.0,2026-05-10,0.2,sales,post-ipo,7.0,united states,2026-05-11,5,2026,mature,low funding,severe,0,after covid,20.0
adda247,"gurugram, non-u.s.",200.0,2026-05-10,0.2,education,series b,61.0,india,2026-05-11,5,2026,startup,low funding,severe,0,after covid,20.0
